#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Fri Sep 13 11:10:13 EDT 2019,29,29,Assignment1Suite,GetTest0+ GetTest1+ InsertTest3+ SizeTest0+ SizeTest3+ , ,ClearTest0- ClearTest1- EverythingTest0- InsertTest0- InsertTest1- InsertTest2- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- SizeTest1- SizeTest2- , ,
1,Fri Sep 13 11:11:23 EDT 2019,29,0,RemoveTestSuite,GetTest0 GetTest1 InsertTest3 SizeTest0 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest1 SizeTest2 , ,
2,Fri Sep 13 11:11:31 EDT 2019,29,0,SizeTestSuite,GetTest0 GetTest1 InsertTest3 SizeTest0 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest1 SizeTest2 , ,
3,Fri Sep 13 11:11:39 EDT 2019,29,0,SizeTestSuite,GetTest0 GetTest1 InsertTest3 SizeTest0 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest1 SizeTest2 , ,
4,Fri Sep 13 11:11:43 EDT 2019,29,0,SizeTestSuite,GetTest0 GetTest1 InsertTest3 SizeTest0 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest1 SizeTest2 , ,
5,Fri Sep 13 11:11:46 EDT 2019,29,0,SizeTestSuite,GetTest0 GetTest1 InsertTest3 SizeTest0 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest1 SizeTest2 , ,
6,Fri Sep 13 11:12:58 EDT 2019,29,0,InsertTestSuite,GetTest0 GetTest1 InsertTest3 SizeTest0 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest1 SizeTest2 , ,
7,Fri Sep 13 11:13:02 EDT 2019,29,0,InsertTestSuite,GetTest0 GetTest1 InsertTest3 SizeTest0 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest1 SizeTest2 , ,
8,Fri Sep 13 11:13:03 EDT 2019,29,0,InsertTestSuite,GetTest0 GetTest1 InsertTest3 SizeTest0 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest1 SizeTest2 , ,
9,Fri Sep 13 11:13:05 EDT 2019,29,0,InsertTestSuite,GetTest0 GetTest1 InsertTest3 SizeTest0 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest1 SizeTest2 , ,
10,Sat Sep 14 11:04:59 EDT 2019,29,0,Assignment1Suite,GetTest0 GetTest1 InsertTest3 SizeTest0 SizeTest3 , ,ClearTest0 ClearTest1 EverythingTest0 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest1 SizeTest2 , ,
11,Sat Sep 14 11:08:48 EDT 2019,100,71,Assignment1Suite,ClearTest0+ ClearTest1+ EverythingTest0+ GetTest0 GetTest1 InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3 RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3+ SizeTest0 SizeTest1+ SizeTest2+ SizeTest3 , , , ,
12,Sat Sep 14 11:15:10 EDT 2019,52,-48,Assignment1Suite,EverythingTest0 GetTest0 GetTest1 InsertTest3 RemoveTest1 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,ClearTest0- ClearTest1- InsertTest0- InsertTest1- InsertTest2- RemoveTest0- RemoveTest2- RemoveTest3- , ,
13,Sat Sep 14 11:16:42 EDT 2019,100,48,Assignment1Suite,ClearTest0+ ClearTest1+ EverythingTest0 GetTest0 GetTest1 InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3 RemoveTest0+ RemoveTest1 RemoveTest2+ RemoveTest3+ SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
